what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.200.v20080515,org.eclipse.update.core,1227144093890
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1227144093890
started,bundle,com.instantiations.common.ui,5.3.2.200808162032,com.instantiations.common.ui,1227144093890
started,bundle,com.instantiations.eclipse.debug,5.3.2.200808162032,com.instantiations.eclipse.debug,1227144093890
started,bundle,com.instantiations.eclipse.startup,5.3.2.200808162032,com.instantiations.eclipse.startup,1227144093890
started,bundle,com.instantiations.eclipse.ui,5.3.2.200808162032,com.instantiations.eclipse.ui,1227144093905
started,bundle,com.instantiations.eclipse.util,5.3.2.200808162032,com.instantiations.eclipse.util,1227144093905
started,bundle,com.instantiations.j2ee,5.1.0.200808171209,com.instantiations.j2ee,1227144093905
started,bundle,com.swtdesigner,6.7.0.200808171146,com.swtdesigner,1227144093905
started,bundle,com.swtdesigner.gwt,5.1.0.200808171209,com.swtdesigner.gwt,1227144093905
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.0.R200806162215,org.eclipse.epp.usagedata.gathering,1227144093905
started,bundle,org.eclipse.epp.usagedata.recording,1.0.0.R200806162215,org.eclipse.epp.usagedata.recording,1227144093905
started,bundle,org.eclipse.jdt.core,3.4.0.v_874,org.eclipse.jdt.core,1227144093905
started,bundle,org.eclipse.jdt.core.manipulation,1.2.0.v20080603-2000,org.eclipse.jdt.core.manipulation,1227144093905
started,bundle,org.eclipse.jdt.ui,3.4.0.v20080603-2000,org.eclipse.jdt.ui,1227144093905
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.core,1227144093905
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.bugzilla.ui,1227144093905
started,bundle,org.eclipse.mylyn.commons.net,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.net,1227144093905
started,bundle,org.eclipse.mylyn.commons.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.commons.ui,1227144093905
started,bundle,org.eclipse.mylyn.compatibility,3.0.0.v20080619-1900,org.eclipse.mylyn.compatibility,1227144093905
started,bundle,org.eclipse.mylyn.context.core,3.0.0.v20080619-1900,org.eclipse.mylyn.context.core,1227144093905
started,bundle,org.eclipse.mylyn.context.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.context.ui,1227144093905
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.monitor.ui,1227144093905
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.tasks.ui,1227144093905
started,bundle,org.eclipse.mylyn.team.ui,3.0.0.v20080619-1900,org.eclipse.mylyn.team.ui,1227144093905
